history1,history2,question,rewrite
高尔基,高尔基的原名呢,不就是阿列克塞马克西莫维奇彼什科夫咯,高尔基的原名不就是阿列克塞马克西莫维奇彼什科夫咯
请问探影自动悦的价格是多少呢,这款车的价格是13 99万元,请问探影自动悦有倒车影像功能吗,请问探影自动悦有倒车影像功能吗
微博名,微博名是什么呢,是乐发迁,微博名是乐发迁
下周二南京的风力风向呢,南风3 4级,请帮我找一班下周二上午从南京出发去杭州的动车,请帮我找一班下周二上午从南京出发去杭州的动车
您好 最近朋友来苏州找我玩 能推荐一个价格相对便宜点的校园景点吗,您可以去苏州大学 历史悠久 文化底蕴浓厚,嗯 请问苏州大学有什么特色,嗯 请问苏州大学有什么特色
九,九是什么意思,是九年级,九是九年级
双子座,哎你知道吗听说黄家驹也是双子座的呢,不喜欢他,不喜欢黄家驹
节奏大师是,不是   节奏大师是一款游戏软件的名字,你会吗,你会节奏大师吗
我们这有个变态,自恋还夸自己,他叫邓云鑫,这个变态叫邓云鑫
好的 G105的火车票会不会很贵呢,毕竟是一等座 所以票价有点小贵的 是933 0元,行 反正出差公司给报销 没问题的 哈哈 G105几点能到上海呢,行 反正出差公司给报销 没问题的 哈哈 G105几点能到上海呢
我要小哥哥,啥时候我问问他,现在,现在就要小哥哥
辅导班上课时间最好是周六的上午,好的帮您找到 PM4P05048A 这个辅导班很符合您的预期,PM4P05048A这个辅导班的开始日期是啥时候呢,PM4P05048A这个辅导班的开始日期是啥时候呢
没空调,能穿短袖吗,当然能穿短袖短裤都可以穿,没空调当然能穿短袖短裤都可以穿
你想去什么地方旅游,九寨沟不错美得像仙境,好美啊有时间去走走吧,九寨沟好美啊有时间去走走吧
你好 我下周一下午要从杭州去南京玩几天 想坐一等座的高铁去 请问当天有哪个车呢,当天有G7662 杭州东 南京南,G7662一等座多少钱呀,G7662一等座多少钱呀
你好 我想了解一下插电式混合动力驱动的SUV 我的预算有20 30万,暂时没有这个样子的车 您看汽油驱动的可以吗,可以 汽油驱动的是什么呢,可以 汽油驱动的是什么呢
你说的很对,董洁的事在8卦已经人尽皆知,但是我还是喜欢她觉得她很纯洁,但是我还是喜欢董洁觉得她很纯洁
话说这一届世界杯要开始了呢你看好哪个队呀,巴西,还是很有实力的毕竟今年世界杯都进八强了,巴西还是很有实力的毕竟今年世界杯都进八强了
还可以啊 下周五那天上海的温度怎么样 我看需要带上遮阳伞不 我这遮阳伞可是非常好呢,当天上海的温度是最高温度16摄氏度 最低温度9摄氏度,那就不需要带了 下周五上海的天气怎么样 我去哪都先问天气的,那就不需要带了 下周五上海的天气怎么样 我去哪都先问天气的
G32是几点从杭州开的,下午一点从杭州东站出发,那G32到北京要多长时间,那G32到北京要多长时间
NLP课程咨询 488,NLP的全称是什么,可能大概也许是神经语言程序学吧,NLP的全称可能大概也许是神经语言程序学吧
您好 我家住广州 请问咱们这里下周三天气如何,广州下周三的天气是多云,那下周三广州的温度 风力风向都怎样,那下周三广州的温度 风力风向都怎样
帮我查杭州到上海的动车二等座吧 便宜点,为您查询到 D3324 杭州东 上海虹桥,好的 D3324二等座的票价是多少钱呢,好的 D3324二等座的票价是多少钱呢
下周日中国国航CA4524几点起飞,起飞时间为当天10 10,中国国航CA4524准点吗,中国国航CA4524准点吗
你玩过弹珠吗,玩过啊,玩到好多关啦,弹珠玩到好多关啦
你知道杨文昊吗,我不管杨文昊最乖,你喜欢他吗,你喜欢杨文昊吗
下周一广州晴天没有云怕是光照很强吧,您说对了 紫外线强度是很强,那也没办法 那下周一广州的风呢 大么,那也没办法 那下周一广州的风呢 大么
鬼吹灯不好看,鬼吹灯没有盗墓笔记好看 故事不紧凑,感觉很假,感觉鬼吹灯很假
晚上好 有时间吗 我这几天在苏州度假 明天准备去东方之门玩 可以帮我查一下这个景点的开放时间吗,当然可以了 这个景点全天开放,全天开放这么好啊 那我随时去都行了 东方之门在什么方位呀,全天开放这么好啊 那我随时去都行了 东方之门在什么方位呀
今天六一呢,你怎么过的啊,有糖吃不,六一有糖吃不
嗯 另外我还想找一部中国大陆好看的动作片电影 麻烦再帮我推荐一下,好的 这部大陆的高分动作片 少林寺 推荐给你,少林寺片中的主演都有谁 豆瓣给了几分呢,少林寺片中的主演都有谁 豆瓣给了几分呢
你好 我是苏州人 我朋友要来找我 我想查一下这边的水乡古镇景点 最好是便宜点的,木渎古镇就很符合您,木渎古镇是不是地铁直达的,木渎古镇是不是地铁直达的
那算了吧 我不坐地铁了 玩累了 我想去口碑不错的多多旺港式茶餐厅用餐 你能帮我查到多多旺港式茶餐厅的地址吗,当然可以了 地址是狮山路215号吴宫丽都商业街1楼,好详细呀 多多旺港式茶餐厅也不知道人均消费高不高呀 最好是别超出我的预算才好,好详细呀 多多旺港式茶餐厅也不知道人均消费高不高呀 最好是别超出我的预算才好
零食嘛来聊聊呗,水煮肉片,这个是零食嘛怎么测试的啊,水煮肉片是零食嘛怎么测试的啊
下周日下午南京开往杭州的车有吗,有的 那这辆高铁G2807可以吗,下周日下午南京开往杭州的车 有动车吗,下周日下午南京开往杭州的车 有动车吗
初音未来的有好多人听呢,就是那个岛国妹纸吗,是的她还可以唱中文,是的初音未来还可以唱中文
刚才听到许敏俊介绍你,又幻听了,他是微软的,许敏俊是微软的
给我找部张若昀主演的剧情片电视剧,您可以看看 庆余年,庆余年豆瓣评分怎么样,庆余年豆瓣评分怎么样
c罗怎么样啊,C罗在欧洲杯也算苦尽甘来,你觉得他去尤文图斯好吗,你觉得c罗去尤文图斯好吗
不知道自己想要的是什么,我想要一个幸福的家庭,怎么才会得到,怎么才会得到一个幸福的家庭
你好 明天想请朋友吃饭 他喜欢吃粤菜 有什么粤菜餐厅推荐吗,你好 你对价位有什么要求吗,帮我推荐中等价位的粤菜餐厅就可以,帮我推荐中等价位的粤菜餐厅就可以
袁笑寒,袁笑寒是谁阿,我同学,袁笑寒是我同学
但是我喜欢的人是我的教官 我不应该喜欢他的,暗恋是单方面的付出只要自己觉得值得就好,他知道我喜欢他,我的教官知道我喜欢他
郏县,河南省平顶山市郏县天气,明天天气怎么样,河南省平顶山市郏县明天天气怎么样
魔兽世界呀,我去看过魔兽世界,首映你看了吗,魔兽世界首映你看了吗
你好 我的业余爱好是追剧和看电影 想找找好看的电影电视剧 有没有2010年代热播的美国喜剧片的电视剧呢 推荐一部吧,好的 稍等 为您查到生活大爆炸第十二季,生活大爆炸第十二季的首播时间是什么时候呢,生活大爆炸第十二季的首播时间是什么时候呢
好的 闪灵是什么时候上映的呢,它是1980年5月23日在美国上映的,听说过闪灵 都说不错 是谁导演的呢,听说过闪灵 都说不错 是谁导演的呢
你好 我平时很喜欢追剧 你帮我介绍一部好看的中国台湾的爱情片好吗,嗯 你可以看看 想见你,好的 我还真没看过呢 想见你是哪年播出的呢,好的 我还真没看过呢 想见你是哪年播出的呢
东方航空的航班没坐过 MU283几点能到北京,当天16 50就能到,MU283到的时间倒是不错 那几点从南京起飞,MU283到的时间倒是不错 那几点从南京起飞
我要去韩国了,太贵了去不起,去做练习生,我要去韩国做练习生
来跟我battle,battle是什么,说唱的一种形式啊,battle是说唱的一种形式啊
你好 我想从厦门坐高铁去杭州 有推荐的车次吗,请问打算什么时候出发呢,目前计划下周三上午出发吧 有合适的吗,目前计划下周三上午出发吧 有合适的吗
要G1662一等座 我可以 能说一下G1662的车次信息吗,好的 G1662次列车 始发厦门北站 终到南京南站,了解了 G1662一等座价钱我可以接受吗,了解了 G1662一等座价钱我可以接受吗
你好 我有个朋友要来苏州看我 我想带他在昆山找个便宜点的地方游玩一番 你可以帮我推荐一下这样的景点吗,那就只有千灯古镇可以去了,千灯古镇的评分是几分啊 别便宜的景点评分太低 我就没面子了,千灯古镇的评分是几分啊 别便宜的景点评分太低 我就没面子了
同里月上酒店地址在什么地方,地址在苏州吴江区同里镇东溪街53号,同里月上酒店评分是多少,同里月上酒店评分是多少
范玮琪好看吗,觉得范玮琪漂亮,不觉得,不觉得范玮琪漂亮
实力主唱王俊凯,王俊凯,帅酷你最棒,帅酷王俊凯你最棒
你知不知道  霍华德菲利普洛夫克拉夫特,你是很关心这种问题吗要不找其他专家聊聊,这个是克苏鲁神话的作者, 霍华德菲利普洛夫克拉夫特是克苏鲁神话的作者
为什么是陈,陈欧挺住,为自己 代言,陈欧为自己 代言
我不喜欢,我喜欢华晨宇,我觉得他的烟火里的尘埃还不错,我觉得华晨宇的烟火里的尘埃还不错
那生活大爆炸第十二季的导演是谁呢,这部剧是由马克 森卓斯基导演的,生活大爆炸第十二季什么时间首播的呢,生活大爆炸第十二季什么时间首播的呢
我想要屏幕是15 6英寸 内存是8GB的小米的常规笔记本 希望你推荐一下,好的 推荐您买小米Ruby,小米Ruby的价格是多少,小米Ruby的价格是多少
蔡依林数字专辑在卖哦,期待女神蔡依林出專輯 這次專輯真好聴,你听了吗,你听蔡依林的数字专辑了吗
小米 MI 笔记本Pro的系统是什么,它是Windows10,那小米 MI 笔记本Pro的待机时间是多久,那小米 MI 笔记本Pro的待机时间是多久
四川航空3U8937经济舱就好 是720的那个吗,是的 720元,好 下周日成都去杭州的航班有吗,好 下周日成都去杭州的航班有吗
你知道b站吗,bilibili弹幕网,那里怎么样,b站怎么样
金庸应该是系统研究过大仲马读基督山伯爵总体感觉像是读金庸小说,关于基督山伯爵你有什么看法,一个人复仇的故事,基督山伯爵是一个人复仇的故事
帮我查查沙家浜风景区附近有没有便宜点的餐厅 麻烦推荐一家,这里比较实惠的餐厅还挺多的 给您推荐采芝斋 这家不错,好的 帮我查查采芝斋的具体地址 电话号码,好的 帮我查查采芝斋的具体地址 电话号码
我要G1659的一等座就好 需要多少时间呢,一共需要乘坐5小时45分,G1659何时出发,G1659何时出发
是啊 我也喜欢太极宗师 这个战狼2 是什么时间上映的啊,这部电影的具体上映时间是2017年7月27日,好的 我打算去看看战狼2 非常感谢你的帮助 再见,好的 我打算去看看战狼2 非常感谢你的帮助 再见
知道温州医科大学仁济学院吗,也不打个招呼就消失这么久没良心哼,找一下这个学校的消息呗,找一下温州医科大学仁济学院的消息呗
我想给孩子报一个四年级的数学的精进班 有园区附近的吗,园区方洲邻里中心有一家很合适,可以 帮我查查四年级的数学的精进班什么时候开始上课呢,可以 帮我查查四年级的数学的精进班什么时候开始上课呢
杭州去厦门的车可以推荐一下吗 时间是下周一下午,高铁如何 G1675次列车,可以 我想要坐下周一下午G1675杭州去厦门一等座 车次信息是,可以 我想要坐下周一下午G1675杭州去厦门一等座 车次信息是
收到 请问惠普 HP 星14青春版的CPU型号是什么,该款产品的CPU型号是i5 10210U,嗯嗯 你惠普 HP 星14青春版能待机多长时间啊,嗯嗯 你惠普 HP 星14青春版能待机多长时间啊
吴玉婷团票第几,第一名很开心,她团票第几名,吴玉婷团票第几名
好吧 伴园私房菜电话号码是什么,电话是139 6217 0368,伴园私房菜附近有没有价位偏贵的酒店给我推荐一家,伴园私房菜附近有没有价位偏贵的酒店给我推荐一家
我是码农,就是程序员,你咋知道呢,你咋知道码农呢
我跟我对象是异地恋,有缘份的人总会再相遇的,我想她了,我想我对象了
你再帮我查询一下苏州市立医院 北区 的门诊时间 可以吗,当然可以 门诊时间是8 00 12 00 13 00 17 00,昂 那苏州市立医院 北区 有没有CT呢,昂 那苏州市立医院 北区 有没有CT呢
哈喽 我考虑买一辆夏朗 请帮我推荐一个高配的吧,你好 我给您推荐夏朗380TSI舒享型这款车,请问夏朗380TSI舒享型的价格是多少呢,请问夏朗380TSI舒享型的价格是多少呢
陈玉成是什么样的人,别人可能不清楚不过我知道陈玉成是太平天国主将,他厉害吗,陈玉成厉害吗
我想要大床房,好哒 帮您推荐苏州吴宫泛太平洋酒店 这个很不错,苏州吴宫泛太平洋酒店的评分怎么样,苏州吴宫泛太平洋酒店的评分怎么样
你玩dota2吗,七月底会公测,早就公测了,dota2早就公测了
另外我听说熬八年火锅这家餐厅口碑不错 我想知道这家店人均消费是多少,人均消费是127元,熬八年火锅营业时间呢,熬八年火锅营业时间呢
少年张三丰是动作片吗 我比较喜欢看动作片,是的 这部是动作片,那太好了 少年张三丰的豆瓣评分怎么样,那太好了 少年张三丰的豆瓣评分怎么样
当老师好吗,还行吧,还有别的好处吗,当老师还有别的好处吗
他是延禧攻略里的傅恒,眉眼不赖啊猜不到告诉我吧抓狂,他是我的男票,傅恒是我的男票
你认识马子华吗,是我男神,很帅吗,马子华很帅吗
你最喜欢哪一本书,玫瑰的故事,谁写的,玫瑰的故事谁写的
巴蒂斯图塔你认识吗,狮子王是199495赛季意甲的最佳射手哦感觉很强势啊,有他的照片吗,有巴蒂斯图塔的照片吗
你好 我想买一辆汽油驱动的SUV 预算大概是大于30万 有合适的吗,建议选择这款途昂车系的,途昂车系这款车有座椅加热功能吗,途昂车系这款车有座椅加热功能吗
你好 我下周六要去北京出差 咱们南京这边有哪个航班吗 正常订公务舱就行,您好 这位女士 给您推荐东方航空MU2831 禄口国际机场T2 首都国际机场T2,东方航空我比较喜欢 帮我查查MU2831什么时间起飞,东方航空我比较喜欢 帮我查查MU2831什么时间起飞
甲骨文系列怎么样,这个系列不错,这里面最好的三本书是什么,甲骨文系列里面最好的三本书是什么
苏州新城花园丽呈华廷酒店的地址在什么地方,酒店的地址在苏州高新区狮山路1号,苏州新城花园丽呈华廷酒店的评分如何,苏州新城花园丽呈华廷酒店的评分如何
还没到新年,今天是除夕,不是,今天不是除夕
你好 我们一家来苏州旅游 我们想先在高新区找一个贵一些的景点玩一玩 你帮我查一个吧,好的 这边为您找到苏州乐园森林水世界,地铁能到苏州乐园森林水世界吗 门票是多少钱,地铁能到苏州乐园森林水世界吗 门票是多少钱
哦哦 那还行 那拯救者刃7000的内存容量是多大,该产品内存容量是16GB,16GB内存容量太大了 有没有8GB内存容量的游戏电脑啊,16GB内存容量太大了 有没有8GB内存容量的游戏电脑啊
好的 刚接到电话下周三临时有事 再帮我看看上海到南京的航班,有东方航空MU2882 浦东国际机场T1 禄口国际机场T2,东方航空MU2882的公务舱票价是多少,东方航空MU2882的公务舱票价是多少
你推荐的西贝莜面村评分一定不会低吧,给您推荐的不会差的 评分是4 6,相信你推荐 西贝莜面村有什么推荐菜么,相信你推荐 西贝莜面村有什么推荐菜么
曾宏燕,呃突然想起来我作业还没写,找到他,找到曾宏燕
你好 我最近打算出去旅游 还没想好地点 我想问问杭州到广州的航班有推荐的么 下周五吧 经济舱的,你好 下周五杭州到广州的航班真的有 推荐您乘坐中国国航CA1729 萧山国际机场T1 白云国际机场T1,行 帮我查查下周五CA1729经济舱的是票价多少,行 帮我查查下周五CA1729经济舱的是票价多少
为什么讨厌张艺兴,我喜欢张艺兴 很可爱啊,我也喜欢他,我也喜欢张艺兴
薛之谦,薛之谦的每首歌都很好听,因为他用心,因为薛之谦用心
你喜欢吃什么零食,戚风蛋糕好吃软软的绵绵的早餐必备,在哪儿买,在哪儿买戚风蛋糕
惠普 HP 战99ProG1MT可以 不过我的预算是5000到10000 不知道这个电脑卖多少钱啊,这个电脑的价格是5499 0,嗯嗯 价格很合适 惠普 HP 战99ProG1MT的游戏性能怎么样啊,嗯嗯 价格很合适 惠普 HP 战99ProG1MT的游戏性能怎么样啊
刘看山是谁,一只可爱的小北极狐,我想看看她,我想看看刘看山
我朋友想去成都再帮我查查下周五广州到成都的航班吧,四川航空3U8556 白云国际机场T2 双流国际机场T1,四川航空3U8556经济舱的票价是多少呢 我好做一下比较,四川航空3U8556经济舱的票价是多少呢 我好做一下比较
小微 你看过人渣的本愿不,小说看过吗,看过,看过人渣的本愿
打堡垒之夜不,PvP的射击游戏咩,嗯嗯打过没嘛,嗯嗯打过堡垒之夜没嘛
玩抖音吗,不玩   这是她参加的一个节目的抖音 不是她的,你也下载一个,你也下载一个抖音
我打算下周去杭州出差 你帮我查查北京到杭州的航班呗,您的出发日期是什么时候呢,我打算下周四从北京出发去杭州 你推荐个航班,我打算下周四从北京出发去杭州 你推荐个航班
你好 我来苏州玩 想在昆山那边先找个五星级的酒店大床房先住下 求推荐,推荐您去昆山托尼洛 很不错的一家店,好啊 昆山托尼洛房票多少 贵不,好啊 昆山托尼洛房票多少 贵不
我和朋友是来苏州出差的 打算去拙政园看看 你能告诉我拙政园的门票价格吗,该景区的门票价格是90元,好的 那地铁可以直达苏州拙政园吗,好的 那地铁可以直达苏州拙政园吗
哦 潜行狙击的豆瓣评分是不低了 你知道的主要演员都有谁吗,主要演员有黄宗泽 谢天华 陈法拉 徐子珊,都是TVB的名演员呢 潜行狙击共有多少集呀,都是TVB的名演员呢 潜行狙击共有多少集呀
你好 我来苏州度假 请你帮忙在姑苏区找个一星级酒店,你好 很高兴为你服务 是要标间还是大床房,我准备在姑苏区订一间一星级酒店的大床房,我准备在姑苏区订一间一星级酒店的大床房
你认识高加春吗,认识,那她是谁,那高加春是谁
可以 我要G2277的一等座 从哪里出发 到哪里,是成都东出发的 到达厦门北停车,G2277需要坐多久,G2277需要坐多久
深圳光明,深圳今天的天气是多云转小雨14度到21度东北风3级,什么时候会下雨,深圳今天什么时候会下雨
你好 我想了解苏州太湖国家湿地公园的门票价格是多少,门票价格是60元,苏州太湖国家湿地公园的电话号码是多少,苏州太湖国家湿地公园的电话号码是多少
好吧 那苏州口腔医院门诊时间是什么时候呢,8 00 12 00 13 30 17 30是门诊时间,苏州口腔医院电话是多少,苏州口腔医院电话是多少
陈铮真的好帅,对吧,LINEBREAK太喜欢他了,LINEBREAK太喜欢陈铮了
你好 我们一家从外地来苏州旅游 住在高新区 想找一家附近有日本料理的餐厅去品尝,推荐您去知味日本料理 这家挺好,我想问一下知味日本料理营业时间是多会儿,我想问一下知味日本料理营业时间是多会儿
下周三成都那边的温度咋样,最高温度13摄氏度 最低温度4摄氏度,下周三成都那边的紫外线强度又如何,下周三成都那边的紫外线强度又如何
何思是谁你知道吗,不知道,我的老婆,何思是我的老婆
你看过余华的活着吗,只能说很残忍但也很现实唉,能具体说说吗,能具体说说余华的活着吗
第一次去成都 不了解那边是什么天气 还请你帮我查一下下周五成都的紫外线强不强,下周五成都紫外线强度是中等,那不好 成都下周五是个什么天气呢,那不好 成都下周五是个什么天气呢
我很爱很爱奈布,爱多久,一万年,我爱奈布一万年
你好 我家在南京 我想问一下下周二那边的天气怎么样,下周二的天气为晴转多云,下周二南京的温度呢,下周二南京的温度呢
我看的是周星驰的喜剧之王,周星驰以前真没拍过喜剧,拍过很多,周星驰以前拍过喜剧很多
你觉得许三观卖血记怎么样,写口头做菜那段绝了几乎难以超越了,嗯嗯这是余华于1995年创作的一部长篇小说,嗯嗯许三观卖血记是余华于1995年创作的一部长篇小说
妳认识蒋依依嗎,蒋依依都这么大了,妳认识她嗎,妳认识蒋依依嗎
暮光之城怎么样,这也叫吸血鬼整个一猴子,你看过吗,你看过暮光之城吗
什么,诶你看过那种特别黑暗的小说么,没有你介绍一下,没有你介绍一下那种特别黑暗的小说
水千丞有娘娘腔,为什么喜欢水千丞,因为她写文很棒,因为水千丞写文很棒
哦 看来坐公交车挺方便的呢 还有 你知道苏州大学附属第一医院都什么时间出门诊吗,他家出门诊的时间为7 45 11 30 13 00 16 30,哦 是这样啊 你最好能把苏州大学附属第一医院的电话发给我,哦 是这样啊 你最好能把苏州大学附属第一医院的电话发给我
张杰的歌,张杰哥唱的歌真好听,我是他的小迷弟,我是张杰的小迷弟
你好 我是外地来苏州度假的 请帮我在姑苏区找一个4星级的酒店,你好 我给您推荐苏州金陵南林饭店 您看一下,苏州金陵南林饭店的标准间是多少钱,苏州金陵南林饭店的标准间是多少钱
好 听说网师园这个景点挺好呀 帮我查查地址在哪,地址在苏州市姑苏区带城桥路阔家头巷11号,帮我查查网师园的门票多少钱呢,帮我查查网师园的门票多少钱呢
哇哦原来你和范小微是一个星座的,范小微欠8个多亿我看不起范小微,在我心里章什么都不是早就看出来她是一个骗子 只喜欢赵薇和周迅,在我心里章什么都不是早就看出来范小微是一个骗子 只喜欢赵薇和周迅
姚利民你认识吗,认识  我同学,猥琐吗,姚利民猥琐吗
美锦酒店的评分是多少,评分非常高 是4 8,那快把美锦酒店的详细地址告诉我吧,那快把美锦酒店的详细地址告诉我吧
嗯嗯 这个可以有 不过 来自星星的你的豆瓣评分是多少啊,这部电视剧的豆瓣评分是8 3,评分还不错 哈哈 那来自星星的你是什么时期上映的,评分还不错 哈哈 那来自星星的你是什么时期上映的
怎么判断你智商变高了,我的智商已经不能用多少来形容了,那就是没有喽,那就是没有智商喽
你好 我来苏州旅游 可以给我推荐一个适合情侣约会的地方吗 最好在姑苏区,你好 我推荐您去山塘街 这个地方很多情侣都去打卡,山塘街的评分是多少,山塘街的评分是多少
苏州黎里水岸寒舍精品酒店大床房的房费是多少,大床房房费629 就是五星级酒店的价格,苏州黎里水岸寒舍精品酒店的电话顺便告诉我吧,苏州黎里水岸寒舍精品酒店的电话顺便告诉我吧
胡歌,唉为胡歌惋惜,怎么惋惜,怎么为胡歌惋惜
嗯嗯 能再帮我推荐一部中国香港的电影吗,你可以看看花样年华,花样年华是谁主演的啊,花样年华是谁主演的啊
都这么长时间了呢 不说都不觉得二十来年了 你能把情深深雨濛濛的主演的名单帮我找一下吗,好的 主演有赵薇 林心如 古巨基 苏有朋,对 是赵薇 林心如 古巨基 苏有朋 情深深雨濛濛一共多少集来着,对 是赵薇 林心如 古巨基 苏有朋 情深深雨濛濛一共多少集来着
梦见姚明了,呀你也开始粉啦,他陪我去打篮球,梦见姚明陪我去打篮球
你好 下周三和小伙伴们约好去成都玩玩 请问那天天气怎么样 气温多少度,下周三的成都是多云转阴的天气 最高温度13摄氏度 最低温度4摄氏度,好的 还有小伙伴说想去广州 再看看下周三广州的天气吧 气温,好的 还有小伙伴说想去广州 再看看下周三广州的天气吧 气温
那联想小新潮7000有什么特性吗,这款电脑有PCIE高速固态硬盘 双硬盘位 快充 Type c接口,联想小新潮7000的硬盘容量是多少,联想小新潮7000的硬盘容量是多少
你好 下周一和同学要去上海东方明珠看看 帮我看看那天什么天呀,是个大晴天哟,下周一上海气温多少呀,下周一上海气温多少呀
怎么你喜欢这个零食要不要来聊聊看,鱼皮花生特别脆,脆脆的不错,鱼皮花生脆脆的不错
D1765到达广州的时间是几点 我提前约个车接我,当天23 45到达,好的 D1765全程多长时间能到,好的 D1765全程多长时间能到
你知道维他柠檬茶吗,柠檬你好像很喜欢,超好喝,柠檬茶超好喝
王杰,王杰是谁 ,会唱他的歌吗,会唱王杰的歌吗
不知六朝怪谈的评分怎么样呀,豆瓣评分7 2哦,六朝怪谈主演都有谁呢,六朝怪谈主演都有谁呢
天津啊我平时还挺关注的天津的海河还是挺漂亮的特别适合散步,天津还有什么景点呀,貌似有五大道天津之眼鼓楼盘山古文化街水上公园黄崖关长城,天津貌似有五大道天津之眼鼓楼盘山古文化街水上公园黄崖关长城
你知道井宿嘛,当然知道,他是谁,井宿是谁
张柏芝是谁,张柏芝和谢霆锋曾经是夫妻,现在呢他们是什么关系啊,现在呢张柏芝和谢霆锋是什么关系啊
咨询一下你下一期的双色球,02 04 15 17 23 25  01 试试去吧看看运气真中了要记得伦家啊,再来一注,再来一注双色球
是呀 王喆已经有工作了,哦哦什么工作啊,当明星了,王喆当明星了
你觉得十宗罪怎么样,有点血腥作者的文字还不够好不过故事下面透露出来的人性值得令人深思,里面你最喜欢哪个故事,十宗罪里面你最喜欢哪个故事
你好 我想了解下下周二厦门的天气和温度 我要去见个朋友 看看穿什么衣服 哈,下周二厦门晴天呢 最高温度14摄氏度 最低温度7摄氏度,好 下周二厦门风大吗,好 下周二厦门风大吗
我希望是三星酒店 要大床房,周庄多瓦台临河客栈 性价比超高,周庄多瓦台临河客栈的大床房多少钱,周庄多瓦台临河客栈的大床房多少钱
最近中国经济形势怎样,人类啊我上知天文下知地理就中国经济形势不太懂呢,你怎么看,你怎么看中国经济形势
您好 我计划买一台联想的笔记本电脑,那您对电脑分类有什么要求,我倾向于联想的笔记本电脑的轻薄本,我倾向于联想的笔记本电脑的轻薄本
联想天逸510Pro的系统是什么,它的系统是Windows10,联想天逸510Pro的显卡类别是什么,联想天逸510Pro的显卡类别是什么
抱歉要看房电话联系哈,电话号码多少呀,中介,中介的电话号码是多少呀
今天看了大黄蜂感觉大黄蜂好可爱啊,为啥感觉好可爱了,因为他的表情和肢体动作萌萌的,因为大黄蜂的表情和肢体动作萌萌的
是呀 还是深圳暖和一些 那再帮我看看下周日从成都到深圳的航班吧 我要坐经济舱,你可以坐中国国航CA4325 双流国际机场T2 宝安国际机场T3,好 中国国航CA4325经济舱票价多少,好 中国国航CA4325经济舱票价多少
我刚看过一个大盘点的内容讲的就是火影,鸣人最后怎么了,他沒死吖,鸣人沒死吖
壹加回转寿司的人均消费是多钱,他家人均消费是58元,壹加回转寿司地址在哪了,壹加回转寿司地址在哪了
你知道联想小新Air这款电脑安装的是什么系统呀,系统是Windows10的,我感觉联想小新Air版本还行 那本本都有什么色系的呀,我感觉联想小新Air版本还行 那本本都有什么色系的呀
嗯嗯好的 下周五深圳的天气呢 我正在想这两个地方去哪呢,深圳也是多云,下周五深度的温度也跟我说一下啊,下周五深度的温度也跟我说一下啊
我问问这家苏州慢享主题酒店的评分是多少呢,评分是4 7,苏州慢享主题酒店具体地址在哪里呢,苏州慢享主题酒店具体地址在哪里呢
哦 我听说过朱延平 他是很有才气的 那火烧岛是哪年上映的来着,它是于1991年8月1日在中国台湾上映的,啊 火烧岛里的演员都很有名气的 片长好像也挺长的吧,啊 火烧岛里的演员都很有名气的 片长好像也挺长的吧
太极宗师 的导演是谁,这部电视剧的导演是袁和平,太极宗师 豆瓣评分是多少,太极宗师 豆瓣评分是多少
明朝那些事儿的作者是,当年明月对吧,里面参考了哪些书呢,明朝那些事儿里面参考了哪些书呢
听着挺不错的 白马涧生态园门票价格是多少钱,门票价格是50元,行 麻烦你再给我推荐一家高新区附近的东北菜餐厅 可以吗,行 麻烦你再给我推荐一家高新区附近的东北菜餐厅 可以吗
苏州慢享主题酒店是中等价位吗,对 它家属于中等价位,那苏州慢享主题酒店有标准间吗,那苏州慢享主题酒店有标准间吗
我老公帅吗,帅的一塌糊涂,真的吗,我老公真的帅的一塌糊涂吗
那苏州大学附属第一医院里有DSA吗,有的 医院里有DSA,苏州大学附属第一医院的挂号时间可以告诉我吗,苏州大学附属第一医院的挂号时间可以告诉我吗
教师节送老师什么呢,我要亲手给老师做一张贺卡,我做不好,贺卡我做不好
我比较喜欢爱情片,推荐您看一吻定情,一吻定情的主演都有些谁,一吻定情的主演都有些谁
那布丁酒店房费是多少,这个酒店大床房的房费是99元 标准间的房费是161元,再帮我推荐一下吴中区的水乡古镇吧,再帮我推荐一下吴中区的水乡古镇吧
苏州慢享主题酒店评分怎么样,酒店评分为4 7分,苏州慢享主题酒店地址在什么地方,苏州慢享主题酒店地址在什么地方
戴尔 DELL OptiPlex7070MT的裸机重量是多少呢,8 0kg,戴尔 DELL OptiPlex7070MT是什么系统的,戴尔 DELL OptiPlex7070MT是什么系统的
你好 我来苏州旅游 请你帮我查找一个工业园区适合朋友出游的景点,为您推荐西交利物浦大学,西交利物浦大学的开放时间是什么时候啊,西交利物浦大学的开放时间是什么时候啊
你好 我刚来苏州想玩几天 帮我在工业园区找一家西北菜餐厅呗,您可以去正宗西北菜馆西贝莜面村哟,太好了 西贝莜面村在哪,太好了 西贝莜面村在哪
我们与恶的距离是什么类型啊,这部电视剧是一个剧情片,有没有好看的台湾悬疑片可以推荐啊,有没有好看的台湾悬疑片可以推荐啊
你好 我考虑买一辆高尔夫 如果有多个配置我选择高配 你能给我推荐一款吗,这边为您推荐高尔夫1 8TSI旅行版吧,高尔夫1 8TSI旅行版价格是多少呢,高尔夫1 8TSI旅行版价格是多少呢
