history1,history2,question,rewrite,model_output,accuracy,semantic_related
D3125票价是多少,票价为1140 0元,D3125几点从南京出发呢,D3125几点从南京出发呢,D3125几点从南京出发呢,,1
你玩英雄联盟吗,听说是个不错的游戏呀,你觉得我玩这个游戏会很厉害吗,你觉得我玩英雄联盟会很厉害吗,你觉得我玩英雄联盟这个游戏会很厉害吗,,0
你好 我孩子上小学五年级 我想给他找个英语的辅导班 最好是在周六或周日 这样我可以接送 地点最好在园区或者姑苏区 帮我推荐一个吧,您好 给您推荐PE5T01041,好的 PE5T01041辅导班要上到几号,好的 PE5T01041辅导班要上到几号,好的 PE5T01041辅导班要上到几号,,1
好的 我听说苏州途乐酒店公寓还不错 想了解了解他家的大床房,大床房的房费是486元,那你再为我提供一些关于苏州途乐酒店公寓的地址和停车场的信息吧,那你再为我提供一些关于苏州途乐酒店公寓的地址和停车场的信息吧,苏州途乐酒店公寓的地址和停车场信息,,0
你有多了解我,反正我知道你挺喜欢 张亮哒,不喜欢他,不喜欢张亮,不喜欢张亮,,1
昆明,这个来一块聊聊吧因为昆明山多雨多所以可食用的野生菌特别多一定很好吃,那你要跟我一起去吃么,那你要跟我一起去昆明吃野生菌么,那你要跟我一起去吃昆明的野生菌么,,0
你知道路飞的绝招吗,不用想就是萨博好么,我是问绝招,我是问路飞的绝招,路飞的绝招是什么,,0
你看侏罗纪世界2了吗,侏罗纪世界还不错哦,怎么不错,侏罗纪世界2怎么不错,侏罗纪世界2怎么不错,,1
我们要是坐地铁过去 有没有直达虎丘景区的地铁呢,地铁无法直达,帮我查查虎丘景区的具体地址在什么地方啊,帮我查查虎丘景区的具体地址在什么地方啊,虎丘景区的具体地址在什么地方,,0
尸忆的具体上映时间是在什么时候呢,这部电影的具体上映时间是2015年8月20日,那尸忆的主演名单都有谁呢 还有 片长为多少,那尸忆的主演名单都有谁呢 还有 片长为多少,尸忆的主演名单都有谁，以及片长为多少,,0
涨价啊啥都涨,涨价涨得离谱啊 ,榨菜,榨菜涨价啊,榨菜涨价吗,,0
大鱼海棠,大鱼海棠是16年上映的,是电影吗,大鱼海棠是电影吗,大鱼海棠是电影吗,,1
你喜欢了不起的盖茨比那么小说吗,这本书的确超级棒书中刻画人物形象真的很细腻活灵活现的,里面你最喜欢哪个人物,了不起的盖茨比里面你最喜欢哪个人物,你喜欢了不起的盖茨比这本书吗，里面你最喜欢哪个人物,,0
你好 我想买一台途观L 低配的就行 你帮我推荐一款吧,好的 请稍等 这边为您找到途观L280TSI自动两驱全景舒适,途观L280TSI自动两驱全景舒适多少钱,途观L280TSI自动两驱全景舒适多少钱,途观L280TSI自动两驱全景舒适款的价格是多少,,0
嗯嗯 我想问一下潜行狙击的豆瓣评分是多少分,这个电视剧豆瓣评分是8 5分,哦哦 那潜行狙击的主演都有谁,哦哦 那潜行狙击的主演都有谁,哦哦 那潜行狙击的主演都有谁,,1
明明是狼,狼这都可以狼是宠物,是啊很可爱,是啊狼很可爱,是啊明明是狼很可爱,,0
在厨房灶台上吃火锅你有过这样的经历吗,说的我还想吃火锅,一起吃哈哈,一起吃火锅哈哈,在厨房灶台上吃火锅一起吃哈哈,,0
你喜欢的人帅吗,谁会上杆子喜欢一个丑男啊,他有钱吗,你喜欢的人有钱吗,他有钱吗,,0
戳爷是谁,我家男神,发一张他的照片,发一张戳爷的照片,戳爷的照片,,0
严明君是猪吗,一只粉红猪,他头发可爱吗,严明君头发可爱吗,严明君的头发可爱吗,,0
你好 我想查一查最近的天气 能帮我查查下周二杭州是什么天气么,您好 下周二杭州是晴天,晴天很好 下周二杭州风大不大,晴天很好 下周二杭州风大不大,下周二杭州晴天的情况下风大不大,,0
帮我查查苏苏州太湖国家湿地公园都有什么特点呀,这里是旅游 度假 玩乐 休闲 教育多合一的湿地公园 可谓是 人间天堂,帮我查查苏州太湖国家湿地公园的具体地址在哪里呢,帮我查查苏州太湖国家湿地公园的具体地址在哪里呢,苏州太湖国家湿地公园的具体地址在哪里,,0
那斗破苍穹最后萧炎去了哪里,貌似是在第1324章的时候看了很久了记不太清你自己去看下啦,是去了大主宰吗,萧炎是去了大主宰吗,斗破苍穹中萧炎最后去了大主宰吗,,0
我想要坐飞机去 请帮我找一趟下周二从成都直飞到上海的飞机,好的 您想要经济舱还是公务舱呢,我要下周二从成都直飞到上海航班的公务舱吧,我要下周二从成都直飞到上海航班的公务舱吧,下周二从成都直飞到上海的航班公务舱,,0
比亚迪给你充值了吗,怎么充值,给你广告费了,比亚迪给你广告费了,比亚迪给你广告费了,,1
那联想小新Air是什么系统,它的系统是Windows10,联想小新Air待机时间多久,联想小新Air待机时间多久,联想小新Air待机时间多久,,1
孙杨,你说孙杨有多高,两米,孙杨两米,孙杨有多高两米,,0
嗯 但是我想看看悬疑片 能帮我推荐一部吗,那我推荐你看信号,嗯嗯 这个可以有 但是信号的导演是谁啊,嗯嗯 这个可以有 但是信号的导演是谁啊,信号的导演是谁,,0
你丫是不是有病,胃疼真的,给你检查一下,给你检查一下胃,给你检查一下胃疼,,0
好的 G105的火车票会不会很贵呢,毕竟是一等座 所以票价有点小贵的 是933 0元,行 反正出差公司给报销 没问题的 哈哈 G105几点能到上海呢,行 反正出差公司给报销 没问题的 哈哈 G105几点能到上海呢,G105几点能到上海,,0
你好 我这几天在苏州度假 明天准备去桃花源记吃饭 帮我查下这家餐厅的推荐菜吧,好的 这家餐厅的推荐菜是木桶豆腐花,好的 这桃花源记的营业时间是几点到几点呢,好的 这桃花源记的营业时间是几点到几点呢,桃花源记的营业时间是几点到几点,,0
林志玲,说到林志玲让我想到一个大吃一惊的贴子,她又怎么了,林志玲又怎么了,林志玲又怎么了,,1
加州西海岸,加州还是可以,嗯是不错的,嗯加州是不错的,嗯加州西海岸是不错的,,0
中午吃的什么,鱼汤 油焖笋,营养挺丰富的,鱼汤 油焖笋营养挺丰富的,中午吃的鱼汤和油焖笋营养挺丰富的,,0
五仁的有吗,好奇怪的饺子,是月饼,五仁是月饼,五仁的月饼有吗,,0
同等条件的游戏本有推荐的吗,联想拯救者Y7000可以的,联想拯救者Y7000的待机时长怎么样,联想拯救者Y7000的待机时长怎么样,联想拯救者Y7000的待机时长怎么样,,1
今天有没有按时吃饭呀,没有啊我刚吃夜宵啊,我都不吃,我都不吃夜宵,我都不吃晚饭,,0
我给一个女生送了花我要不要告诉她是我送的,告诉你你这样子告诉她吧就说不就999朵嘛哪怕9999朵你都愿意送不过打个商量可不可以暂时一天就送一朵呢等以后有能力了再大把大把的买给女生,我要告诉她花是我送的吗,我要告诉女生花是我送的吗,我要告诉她花是我送的吗,,0
呃你一般听谁的歌呀,悲伤逆流成河,这首歌好有王菲的感觉,悲伤逆流成河好有王菲的感觉,这首歌好有王菲的感觉,,0
安徽合肥肥东,是安徽合肥肥东的这么巧,是啊好巧啊我也是那儿的,是啊好巧啊我也是安徽合肥肥东的,是啊好巧啊我也是安徽合肥肥东的,,1
还喜欢番茄酱,特别喜欢亨氏的番茄酱味道好,味道真的超级好的,番茄酱味道真的超级好的,亨氏的番茄酱味道真的超级好,,0
你好 我来苏州办事 请你给我推荐一个消费水平中等的姑苏古迹,推荐您去虎丘景区,虎丘景区有没有地铁直达呢,虎丘景区有没有地铁直达呢,虎丘景区有没有地铁直达呢,,1
再帮我查一下下周四杭州的天气情况怎样,下周四杭州晴转多云,下周四杭州的温度是多少呢,下周四杭州的温度是多少呢,下周四杭州的温度是多少呢,,1
你好 我来苏州办事 准备找个地方吃点东西 我想问问价位有没有中等的日本料理餐厅,有呀 牛炭家本格炭火烤肉就是,牛炭家本格炭火烤肉是否地铁直达呢,牛炭家本格炭火烤肉是否地铁直达呢,牛炭家本格炭火烤肉是否地铁直达,,0
这样啊 那您看看有没有其他贵点的景点呢,给您推荐苏州乐园森林水世界 这个景点挺不错的,行啊 苏州乐园森林水世界的门票多少钱啊,行啊 苏州乐园森林水世界的门票多少钱啊,苏州乐园森林水世界的门票多少钱,,0
还珠格格的主要演员都有谁,主演人员有赵薇 苏有朋 林心如 周杰,还珠格格一共有多少集呢,还珠格格一共有多少集呢,还珠格格一共有多少集呢,,1
我觉得说的是药丸,这是药丸,不吃,不吃药丸,不吃药丸,,1
皮卡丘你是想上我家玩,为啥是皮卡丘,是宠物小精灵,皮卡丘是宠物小精灵,皮卡丘是宠物小精灵,,1
农乐园炭火烤肉的地址在哪,广济南路19号西城永捷大厦5楼A502室,农乐园炭火烤肉的人均消费多少,农乐园炭火烤肉的人均消费多少,农乐园炭火烤肉的人均消费多少,,1
东方航空MU5101的票价是多少,票价为2360元,请帮我再查查下周四从上海出发去南京的航班 它的票价是多少,请帮我再查查下周四从上海出发去南京的航班 它的票价是多少,下周四从上海出发去南京的航班的票价是多少,,0
美妞是谁,陈意涵,为什么是她,为什么是陈意涵,为什么是陈意涵,,1
你好 我想下周三去玩玩 先考虑广州 看看那天什么天气,是多云的天气哟,下周三广州的温度多少呀,下周三广州的温度多少呀,下周三广州的温度多少,,0
你知道挪威的森林吗,村上春树的成名作个人认为一般只对小林绿一个角色印象深刻再次证明读书不能人云亦云,我觉得不错,我觉得挪威的森林不错,我觉得挪威的森林不错,,1
我不喜欢雨天散步的感觉 你再帮我看看有下周二上午从厦门到上海的高铁吗,有的啊 那我就直接推荐给您了 是G1652 厦门 上海虹桥,好的呀 G1652是几点到站呢 毕竟我从来没去过上海 人生地不熟的 我好安排自己的旅程,好的呀 G1652是几点到站呢 毕竟我从来没去过上海 人生地不熟的 我好安排自己的旅程,G1652厦门到上海虹桥的到站时间是几点呢，毕竟我从来没去过上海，人生地不熟的，我好安排自己的旅程,,0
语音,这不能用语音,为啥,为啥不能用语音,为啥这不能用语音,,0
我今天晚上必须梦到孙中山,那就做梦吧,那么梦到他又如何,那么梦到孙中山又如何,梦到孙中山会怎么样,,0
无限流量卡在此,我的不是无限流量卡,33元月还买不起,无限流量卡33元月还买不起,33元月的无限流量卡还买不起,,0
前两天又看了一遍泰坦尼克号给我哭的稀里哗啦的,嗯呢,你看过类似的特别感人的电影吗,你看过泰坦尼克号类似的特别感人的电影吗,你看过类似的特别感人的电影吗,,0
小微西安有什么好玩的,去秦始皇兵马俑博物馆呀这里我一直很想去呢安利给你,你去过吗,你去过秦始皇兵马俑吗,你去过秦始皇兵马俑博物馆吗,,0
DNN模型是什么,一种黑科技啦说了你也不懂,简单点说明一下可以吗,简单点说明一下DNN模型可以吗,DNN模型是什么，简单点说明一下,,0
还不错呀 如果我想改在下周一从厦门到广州呢 有哪个航班呀,下周一同样是南方航空CZ5111 高崎国际机场T3 白云国际机场T2,那周一CZ5111从厦门到广州的发出和到达时间呢,那周一CZ5111从厦门到广州的发出和到达时间呢,周一CZ5111从厦门到广州的发出和到达时间,,0
美美哒我们还是在古籍室碰面,我还没去过古籍室啊,谁先到谁先等一会啊,谁先到古籍室谁先等一会啊,古籍室碰面谁先到谁先等一会,,0
行 能为我们介绍一下石湖景区的特色吗,可以 它是一处赏石湖胜景 看山水相依 峰峦重叠 领略苏州的山水文化底蕴,好的 我朋友就喜欢看这些山山水水的 我再问一下 石湖景区通地铁不,好的 我朋友就喜欢看这些山山水水的 我再问一下 石湖景区通地铁不,石湖景区通地铁吗,,0
我男朋友好忙,别太辛苦了赶紧给自己放个假吧,他也不怎么回复我消息,我男朋友也不怎么回复我消息,我男朋友也不怎么回复我消息,,1
您好 我想找个科幻电影看 给我推荐个大陆的吧,您对演员什么的有要求吗,我想找个大陆的科幻电影 对演员没有要求 但豆瓣评分高点吧,我想找个大陆的科幻电影 对演员没有要求 但豆瓣评分高点吧,我想找个大陆的科幻电影，对演员没有要求，但豆瓣评分高点的,,0
男人无聊时就找你当消遣,找无聊男人消遣并被消遣着,我不要,我不要被消遣,我不要找无聊男人消遣,,0
你好 我想问一下我们苏州有没有公立的综合医院 还是三级医院的这种医院 有的话帮我推荐一个呗,您好 有的 给您推荐苏州市立医院 东区,苏州还真有公立的三级医院 那苏州市立医院 东区 可以做CT吧,苏州还真有公立的三级医院 那苏州市立医院 东区 可以做CT吧,苏州市立医院东区可以做CT吗,,0
你好 我家在杭州 准备去厦门旅游 请帮我查一下下周六下午出发的动车,好哒 您想要一等座还是二等座,我想要从杭州出发去厦门的动车二等座,我想要从杭州出发去厦门的动车二等座,下周六下午从杭州出发去厦门的动车二等座,,0
如家酒店的电话号码是多少,酒店的电话号码是0512 68019666,如家酒店的地址在什么地方,如家酒店的地址在什么地方,如家酒店的地址在什么地方,,1
去泰国啊,泰国有什么好玩的吗,有很多好吃的东西,泰国有很多好吃的东西,泰国有什么好吃的东西,,0
电影里,我觉得林更新电视里挺好的,我也喜欢他,我也喜欢林更新,我也喜欢林更新,,1
你好 我听说苏州城驿联号酒店不错 这个酒店标准间怎么样啊 评分高不高,4 6的评分还是很受大家认可的,那苏州城驿联号酒店的停车场收费吗,那苏州城驿联号酒店的停车场收费吗,苏州城驿联号酒店的停车场收费吗,,0
您好 在深圳呆的太久了 下周正好有休假 准备周四去上海玩玩 请问有什么航班吗,下周四有南方航空CZ3831 从宝安国际机场T3到虹桥国际机场T2,行啊 南方航空CZ3831经济舱的票价是多少,行啊 南方航空CZ3831经济舱的票价是多少,南方航空CZ3831经济舱票价是多少,,0
我的前男友在别的班但我的好朋友追着我问我烦的不行就告诉她了然后她就去找了我很尴尬我其实想我和他的过去只停留在以前我还是喜欢他的所以我不想打扰他但是我朋友去问了,赶紧问吧,我不想让他知道,我不想让前男友知道,我不想让他知道我前男友的事情,,0
你什么星座,水瓶座,这个星座有个明显的特点就是爱笑哈哈,水瓶座星座有个明显的特点就是爱笑哈哈,水瓶座有个明显的特点就是爱笑哈哈,,0
下周日杭州的天气咋样啊,下周日杭州是多云转阴的天气,下周日杭州的温度多少啊,下周日杭州的温度多少啊,下周日杭州的温度多少啊,,1
再麻烦你帮我查一下有没有下周六上午出发的高铁,下周六上午的话推荐您乘坐G19 北京南 南京南,G19的发车时间又是几点呢,G19的发车时间又是几点呢,G19的发车时间又是几点呢,,1
你好 我考虑买一辆三厢车 我比较信赖一汽大众 一般两个人坐 你能推荐我一款吗,这边为您推荐宝来1 5L自动舒适型吧,宝来1 5L自动舒适型这款车的价格是多少呢,宝来1 5L自动舒适型这款车的价格是多少呢,宝来1.5L自动舒适型这款车的价格是多少呢,,0
夏紫娟爱我吗,要爱多一夏再多爱一下,她爱我,夏紫娟爱我,夏紫娟爱我吗,,0
小筱是谁,叫的就是你咋地,我不喜欢这个名字,我不喜欢小筱,我不喜欢小筱这个名字,,0
哦 那我们还是打车吧 也不费啥事 请问东北饭庄人均消费多钱,人均消费为49元,还行 不算贵 东北饭庄营业时间是什么时候,还行 不算贵 东北饭庄营业时间是什么时候,东北饭庄营业时间是什么时候,,0
啊话说刚查了下射手榜第一是凯恩6球,凯恩是谁,你说他能不能拿下今年的神射手呀,你说凯恩能不能拿下今年的神射手呀,凯恩能不能拿下今年的神射手,,0
滩羊肉,羊肉串儿味儿么,你吃过吗,你吃过羊肉串儿吗,滩羊肉你吃过吗,,0
好 下周一下午我要从北京到厦门出差 想坐动车 有列车呀,有D745 北京西 厦门北,好 D745 北京西 厦门北的一等卧的车票多少钱一张,好 D745 北京西 厦门北的一等卧的车票多少钱一张,D745 北京西 厦门北的一等卧车票多少钱一张,,0
怎么叠纸飞机,安检登机起飞,我说的是手工,我说的是叠纸飞机手工,手工叠纸飞机的方法,,0
那帮我查一下下周日广州的天气是怎么样呢,广州那天是多云呢,还是麻烦你再和我说说下周日广州的风力风向怎么样 紫外线强度大不大吧,还是麻烦你再和我说说下周日广州的风力风向怎么样 紫外线强度大不大吧,下周日广州的风力风向怎么样 紫外线强度大不大,,0
你认识徐文龙吗,我认识徐文龙徐文龙不认识我,他好看吗,徐文龙好看吗,徐文龙好看吗,,1
一个节目,偶像来了,你不是去了吗,你不是去了偶像来了吗,偶像来了这个节目你不是去了吗,,0
好的 南方航空CZ3831下周一具体的起飞时间呢 我提前约个车来接我,起飞时间当天12 40,南方航空CZ3831能不能准点呀,南方航空CZ3831能不能准点呀,南方航空CZ3831下周一的起飞时间12:40能不能准点,,0
女孩子霸道不好,女人天生就是用来宠的,那就不能霸道,女孩子就不能霸道,女孩子霸道不好就不能霸道,,0
我女朋友不要我了,单身多好啊,我爱她,我爱我女朋友,我爱我女朋友,,1
中等价位的餐厅就可以,给您推荐巴蜀传香吧 这个餐厅挺受欢迎的,好的 巴蜀传香的营业时间是几点到几点呢,好的 巴蜀传香的营业时间是几点到几点呢,巴蜀传香的营业时间是几点到几点,,0
我想买轻薄本,您想买什么尺寸的,我想买14 0寸的笔记本,我想买14 0寸的笔记本,我想买14英寸的笔记本,,0
晚上我想在苏州太湖国家湿地公园附近找一家3星级酒店 有推荐的吗,那您对房型有要求吗,我想要一家3星级酒店标准间 其他没啥要求的,我想要一家3星级酒店标准间 其他没啥要求的,晚上我想在苏州太湖国家湿地公园附近找一家3星级酒店标准间 其他没啥要求的,,0
你喜欢吃花生米吗,它可是我最喜欢的一种零食呢脆脆的花生米最好吃了越嚼越香简直就是追剧首选呀,贵吗,花生米贵吗,花生米贵吗,,1
赌神主演都有哪些个 看看有没有我喜欢的主演,主演有周润发 刘德华 王祖贤 张敏,哇塞 居然有王祖贤 那赌神导演是谁,哇塞 居然有王祖贤 那赌神导演是谁,赌神导演是谁,,0
那戴尔 DELL OptiPlex7070MTCPU型号是什么,这款电脑的CPU型号是i7 9700,戴尔 DELL OptiPlex7070MT是什么系统,戴尔 DELL OptiPlex7070MT是什么系统,戴尔 DELL OptiPlex7070MT的系统是什么,,0
您好 我需要采购一批小米的笔记本电脑 推荐一款,您的预算价格是多少,我的预算在5000到10000元吧,我的预算在5000到10000元吧,小米笔记本电脑5000到10000元预算推荐,,0
你好 苏州是我们毕业旅行的第一站地 请问在姑苏区能找到价格便宜的酒店吗,你好 可以找到的 苏州永顺快捷酒店是姑苏区一家价位低一些的酒店 推荐给你,那苏州永顺快捷酒店地址在哪,那苏州永顺快捷酒店地址在哪,苏州永顺快捷酒店地址在哪,,0
你好 我想买一辆主要用途是越野的SUV 一般是2个人坐 你能推荐我一款吗,这边为您推荐途铠1 5L自动风尚版吧,途铠1 5L自动风尚版价格区间是多少呢,途铠1 5L自动风尚版价格区间是多少呢,途铠1.5L自动风尚版的价格区间是多少呢,,0
厦门有什么好玩的,鼓浪屿环岛路万石植物园胡里山炮台南普陀寺同安影视城等呀,进去需要买票吗,鼓浪屿环岛路万石植物园胡里山炮台南普陀寺同安影视城进去需要买票吗,鼓浪屿进去需要买票吗,,0
给我讲一下晧澜传里讲的那段历史吧,快讲,你给我讲,你给我讲晧澜传里讲的那段历史,晧澜传里讲的那段历史你给我讲,,0
郭麒麟帅吗,我只是一只乖巧的冰淇淋,夸他帅,夸郭麒麟帅,夸郭麒麟帅,,1
我情商多少,情商180,你的呢,你的情商多少呢,情商180的你的呢,,0
我们还在考虑北京 看看下周六从杭州到北京有什么航班呢,到北京有东方航空MU5457 萧山国际机场T3 首都国际机场T2,MU5457下周六从杭州到北京经济舱票价多少,MU5457下周六从杭州到北京经济舱票价多少,MU5457下周六从杭州到北京经济舱票价多少,,1
强直性脊柱炎怎么办,严重啊 怎么没治疗,治不好,强直性脊柱炎治不好,强直性脊柱炎治不好吗,,0
小米Air13笔记本是什么系统的 CPU是什么型号,操作系统是Windows10 CPU型号是i5 8250U,小米Air13笔记本显卡是什么型号的,小米Air13笔记本显卡是什么型号的,小米Air13笔记本显卡是什么型号的,,1
你好 我打算和家人下周四从北京到成都去玩几天 我们计划坐公务舱 请问当天有哪个航班呀,您可以乘坐四川航空3U8548 首都国际机场T3 双流国际机场T1,好的 四川航空3U8548下周四公务舱票价多少呢 我提前做个预算,好的 四川航空3U8548下周四公务舱票价多少呢 我提前做个预算,四川航空3U8548下周四公务舱票价多少,,0
你好 我在苏州出差 顺道想找个景点走走 给我推荐个便宜点的吧 水乡古镇最好,推荐您去木渎古镇呢,木渎古镇地址是啥,木渎古镇地址是啥,木渎古镇地址是啥,,1
苏州金陵南林饭店评分如何,他家评分是4 7,苏州金陵南林饭店停车免费吗,苏州金陵南林饭店停车免费吗,苏州金陵南林饭店停车免费吗,,1
你好 我准备带朋友在苏州玩 请你帮我推荐个在高新区消费水平偏贵的地方,那推荐您去苏州乐园森林水世界,我们想早点去 苏州乐园森林水世界的开放时间是几点啊,我们想早点去 苏州乐园森林水世界的开放时间是几点啊,我们想早点去 苏州乐园森林水世界的开放时间是几点啊,,1
那您再帮我查查下周一从广州到北京的航班 好吗,好的 您稍等 推荐您乘坐中国国航CA1310 白云国际机场T1 首都国际机场T3,中国国航CA1310贵么 也要公务舱,中国国航CA1310贵么 也要公务舱,中国国航CA1310航班公务舱价格贵吗,,0
吃蛋糕,蛋糕在哪,在店里啊,蛋糕在店里啊,蛋糕在店里,,0
你帮我搞定吧,搞定什么,牧羊犬,你帮我搞定牧羊犬,牧羊犬,,0
我有个朋友,这样也很爽哦,他失恋了,朋友失恋了,我有个朋友失恋了,,0
我梦到一个男生,不只是情侣,从不认识的,从不认识的一个男生,从不认识的男生,,0
我果兒哥超帅,我哥怎么能这么帅呢,这不是你哥喔,果兒不是你哥喔,这不是我果兒哥喔,,0
我想知道桃花源记 桃花源记的营业时间是什么时候,营业时间是周一至周日10 00 21 30,桃花源记电话号码是多少,桃花源记电话号码是多少,桃花源记的电话号码是多少,,0
下周一杭州风大不呢,不大哟 北风2级,那下周一杭州紫外线强吗,那下周一杭州紫外线强吗,下周一杭州紫外线强吗,,0
好 还要麻烦你帮我找找酒店 我想要五星级的大床房,没问题 高新区有一家苏州新城花园丽呈华廷酒店 是五星级酒店,苏州新城花园丽呈华廷酒店的地址电话能给我发过来吗,苏州新城花园丽呈华廷酒店的地址电话能给我发过来吗,苏州新城花园丽呈华廷酒店的地址和电话是多少,,0
在不 我想咨询一下高新区哪个景点更适合家族亲子游呢 我们家都是外地过来的 对这里不了解,我为您全家推荐景点 苏州太湖国家湿地公园 你们一定会喜欢的,你得帮我们看苏州太湖国家湿地公园坐地铁是否方便,你得帮我们看苏州太湖国家湿地公园坐地铁是否方便,苏州太湖国家湿地公园坐地铁是否方便,,0
我想要大床房,这家酒店就有大床房,那周庄多瓦台临河客栈地址是在哪了,那周庄多瓦台临河客栈地址是在哪了,周庄多瓦台临河客栈地址是在哪,,0
沃姆精品酒店在什么位置啊,这家酒店的地址在苏州工业园区水坊路36号李公堤南区星尚邻里1号楼,哦 好的 然后在工业园区的最热门的学校校园是哪个 帮我推荐一下吧,哦 好的 然后在工业园区的最热门的学校校园是哪个 帮我推荐一下吧,哦 好的 然后在苏州工业园区的最热门的学校校园是哪个 帮我推荐一下吧,,0
你知道你好旧时光吗,你好旧时光还可以,你知道它的作者是谁吗,你知道你好旧时光的作者是谁吗,你知道你好旧时光的作者是谁吗,,1
那联想YOGAC740的显卡是什么型号,它的显卡型号是其他,那联想YOGAC740的价格是多少,那联想YOGAC740的价格是多少,联想YOGAC740的价格是多少,,0
这个是什么动画片呀,小熊华斯比历险记,那您知道这是什么动画片吗,那您知道小熊华斯比历险记是什么动画片吗,那您知道小熊华斯比历险记是什么动画片吗,,1
还不错 不知道上海紫外线强不 我怕晒啊,当天是比较强 注意防护吧,好的 再看看下周日广州的天气情况,好的 再看看下周日广州的天气情况,下周日广州的天气情况,,0
我去丽江玩了,和谁一起玩呀,和情人,我和情人一起去丽江玩了,和情人一起玩,,0
你好 我是五年级学生的家长 请你帮我查找一个周六下午的数学辅导班,班号是PM5J44004A的辅导班应该符合您要求,我很关心PM5J44004A的辅导班是哪个老师讲课呢,我很关心PM5J44004A的辅导班是哪个老师讲课呢,PM5J44004A辅导班的讲课老师是谁,,0
哦哦 PE6P32071A的辅导班要是上下来的话 一共有多少次课啊,一共有10课次,行 PE6P32071A的辅导班哪天是开课第一天啊,行 PE6P32071A的辅导班哪天是开课第一天啊,PE6P32071A的辅导班开课第一天是哪天,,0
你会跳舞吗,你要教我吗,你教我,你教我跳舞,你会教我跳舞吗,,0
篮球,我偶像可是飞人迈克尔乔丹,你知道他拿了多少个冠军吗,你知道飞人迈克尔乔丹拿了多少个冠军吗,你知道迈克尔乔丹拿了多少个冠军吗,,0
MU2808的票价是多少,票价为780元,MU2808准点吗,MU2808准点吗,MU2808航班准点吗,,0
张子枫啊,竟然长这么大了啊00,你知道她多大吗,你知道张子枫多大吗,你知道张子枫多大吗,,1
下周二深圳的天气怎么样,天气方面的话是晴天,下周二深圳会有大风吗,下周二深圳会有大风吗,下周二深圳会有大风吗,,1
最近正研究星座呢根据我的观察你应该是有点花心的双子对不,我是巨蟹,这个星座的人心太软了有点多愁善感啊,巨蟹的人心太软了有点多愁善感啊,巨蟹星座的人心太软了有点多愁善感啊,,0
下周三上海的天气多云转晴呀 那紫外线应该能强吧,紫外线强度是弱 没关系的,那下周三上海的风力风向怎么样呢,那下周三上海的风力风向怎么样呢,下周三上海的风力风向怎么样,,0
爱迪生发明了什么,电灯了,我为什么要用,我为什么要用爱迪生发明的电灯,爱迪生发明的电灯我为什么要用,,0
G19一等座多少钱呀,一等座748 5元,G19具体的发车和到达时间是几点 我要提前约个车用,G19具体的发车和到达时间是几点 我要提前约个车用,G19具体的发车和到达时间是几点 我要提前约个车用,,1
哈哈俞文州,你认识俞文州吗,很喜欢他他对我很好,很喜欢俞文州他对我很好,很喜欢俞文州，他对我很好,,0
你知道蔡徐坤吗,恭喜坤坤C位出道撒花,你喜欢他吗,你喜欢蔡徐坤吗,你喜欢蔡徐坤吗,,1
3U8548的公务舱票价有点贵 请问经济舱的价格呢,经济舱票价只要920元,这个价格还可以 帮我查查3U8548什么时候从北京起飞,这个价格还可以 帮我查查3U8548什么时候从北京起飞,3U8548航班从北京起飞的时间,,0
哈喽 我是来苏州度假的 我希望你能为我提供一家姑苏区的1星级酒店住 你可以帮我这个忙吗,当然可以了 你可以去苏州永顺快捷酒店看看,苏州永顺快捷酒店有没有标准间呢,苏州永顺快捷酒店有没有标准间呢,苏州永顺快捷酒店有没有标准间,,0
我也想吃,想吃煮玉米,我要吃,我要吃煮玉米,我要吃煮玉米,,1
今天天气怎么没有,天气预报说是多云,明天呢,明天天气呢,明天天气怎么样,,0
江应怜你知道吗,不知道,他是一个漫画的主角,江应怜是一个漫画的主角,江应怜是一个漫画的主角,,1
武汉汉口到上海的火车,应该是来武汉必去的免费景点了市区内的5A级景区而且免费参观郊游散心拍照晨练都是不错的选择值得一去,高铁为什么晚点,武汉汉口到上海的高铁为什么晚点,高铁从武汉汉口到上海为什么晚点,,0
你好 我在家休息没事干 想看看美国的名演员内芙坎贝尔主演的优质电影 你有什么好推荐吗,你看看 惊声尖叫 吧 这部电影你一定会很喜欢的,好呀 惊声尖叫的导演有名吗,好呀 惊声尖叫的导演有名吗,惊声尖叫的导演有名吗,,0
你知道王者荣耀吗,王者荣耀很好玩的手游对战游戏快来开黑啊,你用什么英雄,王者荣耀你用什么英雄,你用王者荣耀什么英雄,,0
你知道柴静吗,柴静真的很拼命 挺佩服她的,举个例子看看,举个柴静的例子看看,柴静拼命的例子是什么,,0
网易云听不了,我说网易云怎么有的歌听不了,对呀没版权,对呀网易云没版权,网易云听不了的歌是因为没版权,,0
我要弹琴,怎么弹,学,学弹琴,学怎么弹琴,,0
我是大哥大这部剧最近超火,在哪里看的,陪你看吧,陪你看我是大哥大吧,大哥大这部剧在哪里看,,0
你还会发表情啊,哎哟会发表情了,再发几个,再发几个表情,再发几个表情,,1
你好 我是从外地来苏州度假的 你能帮我在吴江找一个适合朋友出游的地方吗,推荐您去同里古镇 这里不错,我希望你帮我找个消费水平偏贵的景点,我希望你帮我找个消费水平偏贵的景点,希望你帮我找个消费水平偏贵的同里古镇景点,,0
